era,variant,engine,.metric,.estimate
1860,"xgboost depth=8, eta=0.05",xgboost,mn_log_loss,1.2313708485022061
1860,"xgboost depth=8, eta=0.05",xgboost,roc_auc,0.8316113922155266
1860,"xgboost depth=8, eta=0.05",xgboost,f_meas,0.7542662116040955
1870,"xgboost depth=8, eta=0.05",xgboost,accuracy,0.72931654676259
1870,"xgboost depth=8, eta=0.05",xgboost,kap,0.4588291597682119
1870,"xgboost depth=8, eta=0.05",xgboost,mn_log_loss,1.1973835218906852
1870,"xgboost depth=8, eta=0.05",xgboost,roc_auc,0.801434547554572
1870,"xgboost depth=8, eta=0.05",xgboost,f_meas,0.7271078875793291
1860,"xgboost depth=8, eta=0.1",xgboost,accuracy,0.7571428571428571
1860,"xgboost depth=8, eta=0.1",xgboost,kap,0.5144502957828008
1860,"xgboost depth=8, eta=0.1",xgboost,mn_log_loss,1.4089576574841014
1860,"xgboost depth=8, eta=0.1",xgboost,roc_auc,0.8181127299335238
1860,"xgboost depth=8, eta=0.1",xgboost,f_meas,0.7557058326289094
1870,"xgboost depth=8, eta=0.1",xgboost,accuracy,0.7221223021582733
1870,"xgboost depth=8, eta=0.1",xgboost,kap,0.44421943439806943
1870,"xgboost depth=8, eta=0.1",xgboost,mn_log_loss,1.3524110763578883
1870,"xgboost depth=8, eta=0.1",xgboost,roc_auc,0.7887083571939292
1870,"xgboost depth=8, eta=0.1",xgboost,f_meas,0.7243532560214095
1860,"xgboost depth=8, eta=0.3",xgboost,accuracy,0.7470588235294118
1860,"xgboost depth=8, eta=0.3",xgboost,kap,0.4942662137243773
1860,"xgboost depth=8, eta=0.3",xgboost,mn_log_loss,2.1215516104812084
1860,"xgboost depth=8, eta=0.3",xgboost,roc_auc,0.8056113526631465
1860,"xgboost depth=8, eta=0.3",xgboost,f_meas,0.7459915611814346
1870,"xgboost depth=8, eta=0.3",xgboost,accuracy,0.716726618705036
1870,"xgboost depth=8, eta=0.3",xgboost,kap,0.4336071405471833
1870,"xgboost depth=8, eta=0.3",xgboost,mn_log_loss,2.021941651127103
1870,"xgboost depth=8, eta=0.3",xgboost,roc_auc,0.7726141830617269
1870,"xgboost depth=8, eta=0.3",xgboost,f_meas,0.7154471544715447
1940,"glmnet default (alpha=1, lambda.min)",glmnet,accuracy,0.7283849918433931
1940,"glmnet default (alpha=1, lambda.min)",glmnet,kap,0.45770082940592016
1940,"glmnet default (alpha=1, lambda.min)",glmnet,mn_log_loss,1.079611471466253
1940,"glmnet default (alpha=1, lambda.min)",glmnet,roc_auc,0.7990974426432056
